,parentId,authorDisplayName,replyComment,publishedAt,likeCount
107,Ugws9Khky-Xnq3fWoKN4AaABAg,MistY,"@:̵̧̢̩̯̘̖̩͎̺͈͕̍̈́̆̒̒̅͌͐̈̎͆̍͘͘̕͘ am i going to take advice from someone with rawr x3 on their name, ironic or not",2021-04-18T22:40:36Z,0
108,Ugws9Khky-Xnq3fWoKN4AaABAg,BlackSamurai,"Yeah. It had a good nior type of tone
Like how real/extreme ghost busters is creepier than the movies too

Love it",2021-03-09T02:58:34Z,0
109,Ugws9Khky-Xnq3fWoKN4AaABAg,Damocles178,​@Shawnsicle  lol I thought so too. It was a really clever way to separate the two. They do have some things in common but the series tended to have a darker tone especially with Alpha being the main recurring antagonist.,2021-03-06T12:33:23Z,0
110,Ugws9Khky-Xnq3fWoKN4AaABAg,Shawnsicle,@Damocles178 that’s actually brilliant lol,2021-03-06T06:49:17Z,1
111,Ugw3NyLnm12s25Rg3ZN4AaABAg,Jerry B.,"Same man, it's just something about nostalgia.",2020-11-01T21:13:44Z,0
112,UgxH1DtYN3aHGMGEgoF4AaABAg,Nathan Byberg,Definitely! This rules!,2019-02-11T18:11:10Z,0
113,UgzvdxMcegUIp6W01jx4AaABAg,Maniac Green,he means as a kid🙄,2020-03-17T03:02:55Z,0
114,UgzvdxMcegUIp6W01jx4AaABAg,Vent Deux,😅😅😅😅 that makes no sense . please explain further. was this cartoon playing still after you were born?,2019-04-18T23:37:20Z,0
115,UgwOj4OkbUg34s9fEuJ4AaABAg,Justine Jalober,And also Zeus,2019-01-14T10:04:29Z,0
116,Ugxucs98YSqhfNCImA14AaABAg,Unknown,Shafi Mms07 and yet here you are subscribed to a toy review channel.,2019-07-02T18:45:52Z,1
117,UgxP8v6udonZ8l8R39h4AaABAg,Jorge Pablo López Mola,"Shafi Mms07 

When I was kid I was living in a poor place, and nobody understand about this TV series, it was horrible can not talk about this with nobody",2019-01-19T03:50:28Z,0
118,Ugy03qBqTw93i8LaTaJ4AaABAg,Tommy Crump,@AK Visuals meh no mention of it being a reboot though,2019-02-20T21:30:03Z,0
119,Ugy03qBqTw93i8LaTaJ4AaABAg,Mirai Nikki,Link?,2019-01-21T06:21:23Z,0
120,Ugy03qBqTw93i8LaTaJ4AaABAg,AK Visuals,"@Tommy Crump thanks for the extensive explanation Sir, it was a comment out of excitement and reboot is the first word that came to my mind. Still i think of it as sort of a reboot, a soft one",2019-01-04T23:45:21Z,0
121,Ugy03qBqTw93i8LaTaJ4AaABAg,Tommy Crump,"reboot trailer? you cant be thinking Men in Black International as thats not a reboot, a reboot would suggest A different setting, no mention of Agent K and J and they are in the trailer in a picture of both agencies side by side, the NY one and the London one, its technically Men in Black 4 as if you think its a reboot then you're wrong cuz a reboot would make it be a different Agent J and a different agent K and its not, its Agent M and Agent H",2019-01-04T23:40:14Z,1
122,Ugy03qBqTw93i8LaTaJ4AaABAg,The Kollector,AK Visuals yep lol I just saw the trailer on Instagram this morning and immediately thought of this 😂,2018-12-25T13:44:56Z,1
123,Ugyxnu3gkTGTEvjCEVp4AaABAg,Ishmael C,The intro seems as seemless as akira's animation which was fone by 8 studios.,2019-12-14T03:28:44Z,0
124,Ugyxnu3gkTGTEvjCEVp4AaABAg,Jozinek,As is the show ;),2019-01-03T14:52:36Z,1
125,UgzjTTqdGkSy_4Q9EpV4AaABAg,Lycos,Too cool i guess,2020-08-12T16:54:35Z,1
126,UgzjTTqdGkSy_4Q9EpV4AaABAg,Raquel dos Santos,Mojo K yeah dude,2020-03-15T04:28:46Z,1
127,UgwlVwxLbTCkESQAGMN4AaABAg,lucaschannel7 2,And extreme ghostbusters,2021-07-08T03:50:46Z,0
128,UgwlVwxLbTCkESQAGMN4AaABAg,Redlight,it seemed to me that there was a resemblance with godzilla,2021-06-26T07:23:35Z,0
129,UgwlVwxLbTCkESQAGMN4AaABAg,Sasquatch 2099,@Maci Starship Troopers was computer animated. Not familiar with studio. Which Max Steel? Several shows. One was by Mainframe Entertainment.,2021-06-16T03:23:46Z,0
130,UgwlVwxLbTCkESQAGMN4AaABAg,Maci,@Sasquatch 2099 what about starship troopers and max steel ?,2021-06-14T07:08:53Z,0
131,UgwlVwxLbTCkESQAGMN4AaABAg,Christian Yttrie,Did they also do the batman.,2021-06-10T23:11:21Z,0
132,UgwsN2p9hDMRXfR2xkZ4AaABAg,iheartscaryclowns,Right up there with the Justice League intro.,2021-03-30T02:15:48Z,2
133,UgwsN2p9hDMRXfR2xkZ4AaABAg,Reggie Wolfpac,Yes bruh I used to stay watching this.,2021-03-25T21:47:41Z,1
